filename,duration,trimmed,anomaly,reason
Nonshoplifting-19.mp4,25.16,False,No,The video shows a woman shopping in a grocery store and selecting items from the shelves. There is no indication of any suspicious activity such as shoplifting or not.
Shoplifting052_x264.mp4,254.88,True,Yes,"The man in the video is seen bending down and reaching into his jacket, which could be a suspicious action indicating he might be shoplifting."
Nonshoplifting-24.mp4,10.32,False,No,The woman is shopping in a store and appears to be selecting items from the shelves. There is no indication of suspicious activity such as shoplifting or not.
Nonshoplifting-28.mp4,12.0,False,No,The man is simply shopping for groceries and appears to be examining the product. There is no indication of suspicious activity such as shoplifting or not.
Nonshoplifting-37.mp4,18.36,False,No,"The video shows a man and a woman working in a grocery store, scanning items and checking inventory. There is no indication of any suspicious activity such as shoplifting or theft."
Shoplifting034_x264.mp4,397.9,True,Yes,"The woman in the dress is seen walking away from the counter with a purse, which could indicate shoplifting. Additionally, the man in the white shirt is seen walking away from the counter, which could also suggest he is a suspect."
Nonshoplifting-39.mp4,9.84,False,No,"The video shows a woman shopping in a store, pushing a cart and looking at items on the shelves. There is no indication of suspicious activity such as shoplifting or not."
Nonshoplifting-41.mp4,9.96,False,No,The video shows a typical scene in a supermarket with customers shopping and walking around. There is no indication of any suspicious activity such as shoplifting or other criminal behavior.
Shoplifting004_x264.mp4,222.48,True,Yes,"The video shows a group of men gathered around a table, with one man lying on the floor, which could indicate a suspicious situation."
Nonshoplifting-31.mp4,14.35,False,No,"The video shows a woman shopping in a store, wearing a mask and pushing a cart. There is no indication of suspicious activity such as shoplifting or not."
Shoplifting038_x264.mp4,96.83,True,Yes,"The man in the video is seen walking around the store, looking at the display cases, and then he is seen putting items into a bag. This behavior is suspicious and could indicate shoplifting."
Nonshoplifting-45.mp4,25.73,False,Yes,"The person in the video is seen walking around the store and then quickly leaving, which could indicate that they were trying to avoid being caught. Additionally, the person is seen looking at the camera, which could suggest that they were aware of being recorded and were trying to avoid being caught."
Shoplifting016_x264.mp4,49.47,True,Yes,"The woman in the video is seen walking around the store and then quickly leaving with a box, which could be indicative of shoplifting."
